[318679.10107, 3.0, -1.41, -1.225, 10.019]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
[318878.18501, 3.0, -3.764, 0.806, 9.698]
